Kecamatan,Kabupaten/Kota,Tingkat_Kerawanan
Kedaton,Bandar Lampung,1
Rajabasa,Bandar Lampung,2
Tanjungkarang Barat,Bandar Lampung,1
Natar,Lampung Selatan,2
Kalirejo,Lampung Tengah,2
Metro Timur,Metro,0
Gadingrejo,Pringsewu,1
Sukoharjo,Pringsewu,1
Kotaagung,Tanggamus,2
Talang Padang,Tanggamus,2
